Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado
Material Consumo Clinico;Ajuste directo;Aquisição de bens móveis;"33183000-6, Material de assistência ortopédica";Centro Hospitalar do Oeste (510412009);BIOMET PORTUGAL (500254990);"1.425,00 €";05-11-2015;23-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";23-05-2014;"1.425,00 €";;;;Não aplicável.;Não aplicável.;false
Reparação da SR Albatroz;Ajuste directo;Aquisição de serviços;"50000000-5, Serviços de reparação e manutenção";Ministério da Defesa Nacional - Marinha (600012662);"Maré Náutica, Lda. (503639230)";"9.470,20 €";05-11-2015;05-11-2015;20 dias (20 dias);"Portugal, Lisboa, Cascais";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de equipamento individual;Ajuste directo;Aquisição de bens móveis;"35000000-4, Equipamento de segurança, combate a incêndios, polícia e defesa";Ministério da Defesa Nacional - Marinha (600012662);"Proskipper, Lda. (506401723)";"8.045,00 €";05-11-2015;05-11-2015;20 dias (20 dias);"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Material Consumo Clinico;Ajuste directo;Aquisição de bens móveis;"33141411-4, Bisturis e lâminas";Centro Hospitalar do Oeste (510412009);H.R.Hospitalar (501895558);"406,88 €";05-11-2015;26-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Suporte;Ajuste directo;Aquisição de bens móveis;"31000000-6, Maquinaria, aparelhagem, equipamento e consumíveis eléctricos; iluminação";Centro Hospitalar do Oeste (510412009);"REXEL, SA (501142070)";"21,42 €";05-11-2015;18-09-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";19-09-2014;"21,42 €";;;;Não aplicável.;Não aplicável.;false
Consumiveis informaticos;Ajuste directo;Aquisição de bens móveis;"30125100-2, Cartuchos de tinta (toner)";Centro Hospitalar do Oeste (510412009);Ecoprime (510484646);"140,00 €";05-11-2015;28-08-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";28-08-2014;"140,00 €";;;;Não aplicável.;Não aplicável.;false
Ajuste direto para Integração SI Glintt com os Laboratórios do Hospital de Santo Espírito da Ilha Terceira e do Hospital do Divino Espírito Santo.;Ajuste directo;Aquisição de serviços;"72600000-6, Serviços de consultoria e assistência informáticas";Saudaçor - Sociedade Gestora de Recursos e Equipamentos da Saúde dos Açores S.A. (512078653);"Glintt - Healthcare Solutions, S.A. (502479418)";"70.225,00 €";05-11-2015;26-10-2015;80 dias (2 meses e 19 dias);"Portugal, Região Autónoma dos Açores";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Consumiveis informaticos;Ajuste directo;Aquisição de bens móveis;"30125100-2, Cartuchos de tinta (toner)";Centro Hospitalar do Oeste (510412009);Hardtop II (508490561);"389,70 €";05-11-2015;28-08-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";28-08-2014;"389,70 €";;;;Não aplicável.;Não aplicável.;false
Consumiveis informaticos;Ajuste directo;Aquisição de bens móveis;"30125100-2, Cartuchos de tinta (toner)";Centro Hospitalar do Oeste (510412009);Recivedras (505514788);"24,50 €";05-11-2015;28-08-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";28-08-2014;"24,50 €";;;;Não aplicável.;Não aplicável.;false
Consumiveis informaticos;Ajuste directo;Aquisição de bens móveis;"30125100-2, Cartuchos de tinta (toner)";Centro Hospitalar do Oeste (510412009);Rebelo Santos Informática (509707203);"179,40 €";05-11-2015;28-08-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";28-08-2014;"179,40 €";;;;Não aplicável.;Não aplicável.;false
Material de consumo clinico;Ajuste directo;Aquisição de bens móveis;"33141620-2, Kits médicos";Centro Hospitalar do Oeste (510412009);Covidien (503413410);"800,00 €";05-11-2015;12-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";12-05-2014;"800,00 €";;;;Não aplicável.;Não aplicável.;false
Material de consumo clinico;Ajuste directo;Aquisição de bens móveis;"33141620-2, Kits médicos";Centro Hospitalar do Oeste (510412009);Moonsurge - Material Médico (506657035);"337,20 €";05-11-2015;12-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";12-05-2014;"337,20 €";;;;Não aplicável.;Não aplicável.;false
Diverso Material de Ortopedia;Ajuste directo;Aquisição de bens móveis;"33141770-8, Alfinetes, placas e material para fracturas";Centro Hospitalar do Oeste (510412009);Johnson & Johnson (500153370);"31,82 €";05-11-2015;12-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";12-05-2014;"31,82 €";;;;Não aplicável.;Não aplicável.;false
serviços para implementação do Upgrade ERP V9.05 Public;Ajuste directo;Aquisição de serviços;"72600000-6, Serviços de consultoria e assistência informáticas";"Saudaçor - Sociedade Gestora de Recursos e Equipamentos da Saúde dos Açores, S. A. (512078653)";"PRIMAVERA BUSINESS SOFTWARE SOLUTIONS, S.A. (503140600)";"74.448,00 €";05-11-2015;23-10-2015;160 dias (5 meses e 7 dias);"Portugal, Região Autónoma dos Açores, Angra do Heroismo";"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Diverso Material de Ortopedia;Ajuste directo;Aquisição de bens móveis;"33183200-8, Próteses ortopédicas";Centro Hospitalar do Oeste (510412009);Biomet Portugal (500254990);"1.256,15 €";05-11-2015;12-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";12-05-2014;"1.256,15 €";;;;Não aplicável.;Não aplicável.;false
Diverso Material de Ortopedia;Ajuste directo;Aquisição de bens móveis;"33141770-8, Alfinetes, placas e material para fracturas";Centro Hospitalar do Oeste (510412009);Stryker Portugal (504594214);"583,52 €";05-11-2015;12-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";12-05-2014;"583,52 €";;;;Não aplicável.;Não aplicável.;false
Material de Consumo Clinico;Ajuste directo;Aquisição de bens móveis;"33141126-9, Ligaduras";Centro Hospitalar do Oeste (510412009);Albino Dias Andrade (500013810);"40,32 €";05-11-2015;12-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";12-05-2014;"40,32 €";;;;Não aplicável.;Não aplicável.;false
Material de Consumo Clinico;Ajuste directo;Aquisição de bens móveis;"33141615-4, Sacos para urina";Centro Hospitalar do Oeste (510412009);Anastacio Saldanha (505804441);"64,46 €";05-11-2015;12-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";12-05-2014;"64,46 €";;;;Não aplicável.;Não aplicável.;false
Material de Consumo Clinico;Ajuste directo;Aquisição de bens móveis;"33157200-7, Kits para fornecimento de oxigénio";Centro Hospitalar do Oeste (510412009);Intersurgical Portugal (503480045);"180,00 €";05-11-2015;12-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";12-05-2014;"180,00 €";;;;Não aplicável.;Não aplicável.;false
Material de Consumo Clinico;Ajuste directo;Aquisição de bens móveis;"33141411-4, Bisturis e lâminas";Centro Hospitalar do Oeste (510412009);B. Braun Medical (501506543);"70,00 €";05-11-2015;12-05-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";12-05-2014;"70,00 €";;;;Não aplicável.;Não aplicável.;false
Reparação e manutenção da viatura 62-OD-65;Ajuste directo;Aquisição de serviços;"50000000-5, Serviços de reparação e manutenção";Direção-Geral de Reinserção e Serviços Prisionais (600085171);Renault  (503353892);"129,22 €";05-11-2015;08-10-2015;1 dias (1 dia);"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Consumiveis informaticos;Ajuste directo;Aquisição de bens móveis;"30125100-2, Cartuchos de tinta (toner)";Centro Hospitalar do Oeste (510412009);Recivedras (503411302);"31,52 €";05-11-2015;17-07-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";17-07-2014;"31,52 €";;;;Não aplicável.;Não aplicável.;false
EXECUÇÃO DE PAVIMENTO EM CALÇADA;Ajuste directo;Empreitadas de obras públicas;"45233228-3, Obras de revestimento superficial";União das Freguesias de Lamas e Cercal (510837468);ANTÓNIO INÁCIO RODRIGUES (143211595);"16.900,00 €";05-11-2015;22-10-2015;30 dias (30 dias);"Portugal, Lisboa, Cadaval";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Consumiveis informaticos;Ajuste directo;Aquisição de bens móveis;"30125100-2, Cartuchos de tinta (toner)";Centro Hospitalar do Oeste (510412009);Recivedras (505514788);"112,10 €";05-11-2015;17-07-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";17-07-2014;"112,10 €";;;;Não aplicável.;Não aplicável.;false
Aquisição de equipamento médico;Ajuste directo;Aquisição de bens móveis;"33100000-1, Equipamento médico";Município de Pampilhosa da Serra (506811883);"Speculum, Artigos Médicos, S.A (502996323)";"3.974,43 €";05-11-2015;16-10-2015;30 dias (30 dias);"Portugal, Coimbra, Pampilhosa da Serra";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Material para instalações Cirurgicas;Ajuste directo;Aquisição de bens móveis;"44100000-1, Materiais de construção e artigos afins";Centro Hospitalar do Oeste (510412009);Lealmat (507196945);"19,77 €";05-11-2015;13-06-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";14-06-2014;"19,77 €";;;;Não aplicável.;Não aplicável.;false
Fornecimento de Mobiliário e Equipamento Diverso;Ajuste directo;Aquisição de bens móveis;"39000000-2, Mobiliário (incl. de escritório), acessórios, aparelhos domésticos (excl. iluminação) e produtos de limpeza";"Acompanha - Cooperativa de Solidariedade Social, C. R. L. (504658611)";"Equações Variáveis, LDA (508490421)";"53.899,99 €";05-11-2015;02-11-2015;30 dias (30 dias);"Portugal, Leiria, Peniche";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Reparação e manutenção da viatura 22-39-ZM;Ajuste directo;Aquisição de serviços;"50000000-5, Serviços de reparação e manutenção";Direção-Geral de Reinserção e Serviços Prisionais (600085171);Renault (512006237);"183,31 €";05-11-2015;26-08-2015;1 dias (1 dia);"Portugal, Região Autónoma dos Açores, Ponta Delgada";"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Material para instalações Cirurgicas;Ajuste directo;Aquisição de bens móveis;"44100000-1, Materiais de construção e artigos afins";Centro Hospitalar do Oeste (510412009);"TS-Thomaz dos Santos, SA (500284016)";"37,05 €";05-11-2015;13-06-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";14-06-2014;"37,05 €";;;;Não aplicável.;Não aplicável.;false
Material para instalações Cirurgicas;Ajuste directo;Aquisição de bens móveis;"44100000-1, Materiais de construção e artigos afins";Centro Hospitalar do Oeste (510412009);"Ferragens Bacalhau-Soc.Ferrag.e Ferram,Lda (501150072)";"19,60 €";05-11-2015;13-06-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";14-06-2014;"19,60 €";;;;Não aplicável.;Não aplicável.;false
Aquisição de equipamento médico;Ajuste directo;Aquisição de bens móveis;"33100000-1, Equipamento médico";Município de Pampilhosa da Serra (506811883);"Bacelar & Irmão, Lda (500532818)";"2.632,26 €";05-11-2015;16-10-2015;30 dias (30 dias);"Portugal, Coimbra, Pampilhosa da Serra";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Fotocondutor e garrafa de residuos;Ajuste directo;Aquisição de bens móveis;"30124000-4, Peças e acessórios para máquinas de escritório";Centro Hospitalar do Oeste (510412009);Digitoeste (505019981);"101,60 €";05-11-2015;16-07-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";16-07-2014;"101,60 €";;;;Não aplicável.;Não aplicável.;false
Limpeza Interior dos Edifícios Municipais;Ajuste directo;Aquisição de serviços;"90911000-6, Serviços de limpeza de alojamentos, edifícios e janelas";Município de Ferreira do Alentejo (501227490);ADTR - Associação de Desenvolvimento Terras do Regadio (504608479);"9.980,02 €";05-11-2015;05-11-2015;30 dias (30 dias);"Portugal, Beja, Ferreira do Alentejo";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Fotocondutor e garrafa de residuos;Ajuste directo;Aquisição de bens móveis;"30124000-4, Peças e acessórios para máquinas de escritório";Centro Hospitalar do Oeste (510412009);Rebelo Santos Informatico (509707203);"26,10 €";05-11-2015;16-07-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";16-07-2014;"26,10 €";;;;Não aplicável.;Não aplicável.;false
Aquisição Imunoglobulina humana normal 165mg/ml sol inj fr 10ml IM SC.;Ao abrigo de acordo-quadro (art.º 259.º);Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar de Lisboa Central, E. P. E. (508080142)";"Octapharma - Produtos Farmacêuticos, Lda. (502820780)";"74.244,00 €";05-11-2015;16-10-2015;75 dias (2 meses e 14 dias);"Portugal, Lisboa, Lisboa";Artigo 259.º do Código dos Contratos Públicos;;;;;;535788;"CONCURSO PÚBLICO PARA A CELEBRAÇÃO DE CONTRATOSPÚBLICOS DE APROVISIONAMENTO PARA A ÁREA DA SAÚDE, COM VISTA AO FORNECIMENTO DE DERIVADOS DO PLASMA HUMANOÀS INSTITUIÇÕES E SERVIÇOS DO SERVIÇO NACIONAL DE SAÚDE";false
Aquisição de equipamentos médicos;Ajuste directo;Aquisição de bens móveis;"33100000-1, Equipamento médico";Município de Pampilhosa da Serra (506811883);"EPJMédica, Lda (506820513)";"6.110,20 €";05-11-2015;16-10-2015;30 dias (30 dias);"Portugal, Coimbra, Pampilhosa da Serra";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
AQUISIÇAO MATERIAL CONSUMO CLINICO;Ajuste directo;Aquisição de bens móveis;"33141640-8, Drenos";Centro Hospitalar do Oeste (510412009);VYGON (PORTUGAL) LDA (503232785);"72,80 €";05-11-2015;29-04-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";30-04-2014;"72,80 €";;;;Não aplicável.;Não aplicável.;false
Tinteiros reciclados;Ajuste directo;Aquisição de bens móveis;"30125100-2, Cartuchos de tinta (toner)";Centro Hospitalar do Oeste (510412009);Novabit Informatica (503411302);"90,14 €";05-11-2015;17-07-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";17-07-2014;"90,14 €";;;;Não aplicável.;Não aplicável.;false
AQUISIÇAO MATERIAL CONSUMO CLINICO;Ajuste directo;Aquisição de bens móveis;"33140000-3, Material médico de consumo";Centro Hospitalar do Oeste (510412009);"ABBOTT LABORATORIOS, LDA (500006148)";"219,16 €";05-11-2015;29-04-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";30-04-2014;"219,16 €";;;;Não aplicável.;Não aplicável.;false
Tinteiros reciclados;Ajuste directo;Aquisição de bens móveis;"30125100-2, Cartuchos de tinta (toner)";Centro Hospitalar do Oeste (510412009);Recivedras (505514788);"19,80 €";05-11-2015;17-07-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";17-07-2014;"19,80 €";;;;Não aplicável.;Não aplicável.;false
AQUISIÇAO MATERIAL CONSUMO CLINICO;Ajuste directo;Aquisição de bens móveis;"33140000-3, Material médico de consumo";Centro Hospitalar do Oeste (510412009);JMV - PRODUTOS HOSPITALARES (501887148);"288,40 €";05-11-2015;29-04-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";30-04-2014;"288,40 €";;;;Não aplicável.;Não aplicável.;false
Aquisição de equipamentos médicos;Ajuste directo;Aquisição de bens móveis;"33100000-1, Equipamento médico";Município de Pampilhosa da Serra (506811883);"BIQ, Helth Solutions, Lda (504105337)";"7.310,00 €";05-11-2015;16-10-2015;30 dias (30 dias);"Portugal, Coimbra, Pampilhosa da Serra";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Factores de coagulação do sangue pó cola tec fr 10ml.;Ajuste directo;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Centro Hospitalar de Lisboa Central, E. P. E. (508080142)";"Baxter Medico Farmacêutica, Lda. (503347345)";"2.910,00 €";05-11-2015;26-10-2015;60 dias (1 mês e 29 dias);"Portugal, Lisboa, Lisboa";"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Consumiveis informaticos;Ajuste directo;Aquisição de bens móveis;"30125100-2, Cartuchos de tinta (toner)";Centro Hospitalar do Oeste (510412009);Ecoprime (510484646);"230,00 €";05-11-2015;22-07-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";22-07-2014;"230,00 €";;;;Não aplicável.;Não aplicável.;false
Consumiveis informaticos;Ajuste directo;Aquisição de bens móveis;"30125100-2, Cartuchos de tinta (toner)";Centro Hospitalar do Oeste (510412009);Hardtop II (508490561);"387,60 €";05-11-2015;22-07-2015;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Consumiveis informaticos;Ajuste directo;Aquisição de bens móveis;"30125100-2, Cartuchos de tinta (toner)";Centro Hospitalar do Oeste (510412009);rebelo Santos Informatica (509707203);"213,80 €";05-11-2015;22-07-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";22-07-2014;"213,80 €";;;;Não aplicável.;Não aplicável.;false
Artigos de higiene para stock;Ajuste directo;Aquisição de bens móveis;"24950000-8, Produtos químicos para fins específicos";Centro Hospitalar do Oeste (510412009);"FRANKLAB PORTUGAL, LDA (506058654)";"112,30 €";05-11-2015;19-12-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";19-12-2014;"112,30 €";;;;Não aplicável.;Não aplicável.;false
Artigos de higiene para stock;Ajuste directo;Aquisição de bens móveis;"24950000-8, Produtos químicos para fins específicos";Centro Hospitalar do Oeste (510412009);"FRANKLAB PORTUGAL, LDA (506058654)";"78,60 €";05-11-2015;17-12-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";18-12-2014;"78,60 €";;;;Não aplicável.;Não aplicável.;false
Artigos de higiene para stock;Ajuste directo;Aquisição de bens móveis;"24950000-8, Produtos químicos para fins específicos";Centro Hospitalar do Oeste (510412009);"EXACLEAN, LDA (508758190)";"222,54 €";05-11-2015;17-12-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";18-12-2014;"222,54 €";;;;Não aplicável.;Não aplicável.;false
Consumiveis informaticos;Ajuste directo;Aquisição de bens móveis;"30125100-2, Cartuchos de tinta (toner)";Centro Hospitalar do Oeste (510412009);Hardtop (508490561);"86,94 €";05-11-2015;30-07-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";30-07-2014;"86,94 €";;;;Não aplicável.;Não aplicável.;false
Consumiveis informaticos;Ajuste directo;Aquisição de bens móveis;"30125100-2, Cartuchos de tinta (toner)";Centro Hospitalar do Oeste (510412009);Novabit Informatica (503411302);"26,60 €";05-11-2015;30-07-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";30-07-2014;"26,60 €";;;;Não aplicável.;Não aplicável.;false
Suporte;Ajuste directo;Aquisição de bens móveis;"31000000-6, Maquinaria, aparelhagem, equipamento e consumíveis eléctricos; iluminação";Centro Hospitalar do Oeste (510412009);"MIRACALDAS, LDA (503889075)";"29,49 €";05-11-2015;18-09-2014;1 dias (1 dia);"Portugal, Leiria, Caldas da Rainha";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";19-09-2014;"29,49 €";;;;Não aplicável.;Não aplicável.;false
